asin,imUrl,description,categories,title,price,salesRank,related,brand,main_category,text
B002N5EG5A,http://ecx.images-amazon.com/images/I/41S8m76aMRL._SX300_.jpg,No description,"[['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Antennas', 'TV Antennas'], ['Patio, Lawn & Garden', '12-Month Financing']]",No title,,{'Automotive': 6427},"{'also_viewed': ['B005NSLDBO', 'B001TIS3K6', 'B002Z85TUQ', 'B009P0QGRM', 'B007G2J2JA', 'B0051WS108', 'B0051WSD56', 'B00AXXEL5Y', 'B00HCWZXZ6', 'B00J52R3AE', 'B002N5RZOY', 'B00BV71ZVO', 'B007G2J1VO', 'B000V53UV0', 'B005110PXA', 'B00HT7I54U', 'B0046VQNXW', 'B00G1XB8O2', 'B008BQI7WI', 'B00ECFKL76', 'B002N5S0CK', 'B00AOF3EI6', 'B005HJ94SS', 'B00BSMY4PQ', 'B001TIY0LM', 'B005Q15XCS', 'B000NJ4D1A', 'B0083URWXW', 'B0051126KU', 'B000HRQXQQ', 'B00G1XB8RO', 'B00C593CJA', 'B00D2Z2PCG', 'B004VF48YO', 'B00CXB659O', 'B001DFS4AE', 'B00E5Z3R6A', 'B004NFTOLY', 'B000EDSSMA', 'B002PWD39G', 'B00272ITY8', 'B008PBTPOI', 'B004VFFIHK', 'B00IK19VF6', 'B006YVFGAS', 'B00C5936KU', 'B0014SCLCM', 'B008PDGSGY', 'B00BSMY4WO', 'B00DVP022W', 'B001DFZ5HO', 'B00GGT9CCQ', 'B00EPP1CNU', 'B000Q3WFFO', 'B008O0RFP6', 'B0056CDB62', 'B00795K7J8']}",,12-Month Financing,  12-Month Financing
B002Z7X4LI,http://ecx.images-amazon.com/images/I/417-jCj7JML._SX300_.jpg,No description,"[['Electronics', 'Television & Video', 'Satellite Television', 'Antennas'], ['Patio, Lawn & Garden', '12-Month Financing']]",No title,,{'Automotive': 6684},"{'also_bought': ['B001D2XOS4', 'B00D2Z2PCG', 'B003C292AC', 'B00CZ6WFXM', 'B00BBDHXLO', 'B007WR0CHU'], 'also_viewed': ['B0051WS108', 'B002N5O1IW', 'B001TIS3K6', 'B009P0QGRM', 'B002N5EG5A', 'B000U0LZ3Q', 'B00AXXEL5Y', 'B005NSLDBO', 'B002N5RZOY', 'B001BJNSZI', 'B007G2J2JA', 'B00BSMY4PQ', 'B0051WSD56', 'B00AOF3EI6', 'B008BQI7WI', 'B007G2J1VO', 'B005HJ94SS', 'B0014SCLCM', 'B00G1XB8O2', 'B00J52R3AE', 'B0083URWXW', 'B001TIY0LM', 'B005110PXA', 'B00HCWZXZ6', 'B001D2XOS4', 'B002N5S0CK', 'B00D2Z2PCG', 'B000V53UV0', 'B002NKLQHG', 'B001TIY0KS', 'B0046VQNXW', 'B00BV71ZVO', 'B00BSMY4WO', 'B00272ITY8', 'B00CZEZNGU', 'B002A1LYIY', 'B00G1XB8RO', 'B002N5JYM0', 'B0051126KU', 'B00HT7I54U', 'B003C292AC', 'B000NJ4D1A', 'B004RCSS3I', 'B00E5Z3R6A', 'B00CCSI36G', 'B00ECFKL76', 'B0002F67VY', 'B004NFTOLY', 'B002PWD39G', 'B0002F67MI', 'B009SUEF9K', 'B0024ECIP0', 'B005AME3Q0', 'B00CRKP43O', 'B000BUU5YA', 'B0051J9FGU']}",,12-Month Financing,  12-Month Financing
B0034G5DHM,http://ecx.images-amazon.com/images/I/51Dwvn6EY-L._SX300_.jpg,No description,"[['Automotive', 'Tools & Equipment', 'Jump Starters, Battery Chargers & Portable Power', 'Power Inverters'], ['Electronics', 'Computers & Accessories', 'Cables & Accessories', 'Uninterrupted Power Supply (UPS)'], ['Patio, Lawn & Garden', '12-Month Financing']]",No title,,{'Automotive': 6715},"{'also_viewed': ['B002EA22YQ', 'B003R7EGA8', 'B00A0H1IT0', 'B00A35A4O4', 'B000645SCU', 'B00BOM8S2K', 'B000NHS9R6', 'B0028VYEEW', 'B00BP3PUIS', 'B00A35FIZO', 'B009ZRQCLK', 'B007L6E872', 'B009ZSNPZ0', 'B0079XBZM8', 'B009ZSBQRE', 'B0015353XU', 'B00HHNCQ00', 'B00A363JNQ', 'B0010X5KPG', 'B00153BEA6', 'B00A35NSZQ', 'B00CBAT1M0', 'B009ZSHB46', 'B007DMGT26', 'B003TU6MDM', 'B001CMB6DK', 'B00FS2ND2M', 'B000OS6UUM', 'B0000YOGXI', 'B006VELG7A', 'B00E4AT1NY', 'B00EV6QQRA', 'B00E4AT1MU', 'B00I91XEWI', 'B000WGNNUQ', 'B00GMRH8AK', 'B0027VT0I8', 'B0062Z0LG0', 'B008UXUU0O', 'B00A35GKFQ', 'B00E3Q85UY', 'B002UG2ABO', 'B00006HO5G', 'B008AQS4AY', 'B009ZSNVWC', 'B00D6NLDDG', 'B007ZSROY0', 'B00DQC6Z6M', 'B00BBJUFHC', 'B002AMPGE6', 'B00HLCJQNW', 'B008HSAX8G', 'B007AAS4EC', 'B000MY02LQ', 'B00ACNO2AO', 'B00CBAUZAM', 'B002MW8HU4', 'B008AMT15U'], 'bought_together': ['B001550DVU', 'B000KIR8M0']}",,12-Month Financing,  12-Month Financing
B004X8MGZC,http://ecx.images-amazon.com/images/I/21N4bfF8xkL._SY300_.jpg,No description,"[['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', '3D Glasses']]",BIRUGEAR Newest 3D Polarized Glasses Use in Any 3D Cinema / 3D Laptop - works with the RealD digital 3D for watching 3D Movies - Piranha 3DD; JCVD: Bloodsport; Titanic; Ghosts of the Abyss; Katy Perry; Part of Me; Bait; Life of Pi; The Avengers 3D; Go for It!,12.0,,"{'also_bought': ['B002TXYEV2', 'B00540XS32', 'B007BPE4O0', 'B00C1W504G', 'B005SVB6EA', 'B0058GN1AM', 'B00ASQFW40', 'B00CJ74S0K', 'B0090SA7VK', 'B00AJ4QQ6E', 'B002ZJ1LZ2', 'B00C7O0YEY', 'B00ACB89JQ', 'B00IVPU786', 'B00HWWUQYY', 'B002ZG98L4', 'B004SKIPXW', 'B0062KMDZ2', 'B008XBCJ34', 'B00HERGM86'], 'buy_after_viewing': ['B007BPE4O0', 'B00C1W504G', 'B00CJ74S0K', 'B00540XS32']}",,3D Glasses,BIRUGEAR Newest 3D Polarized Glasses Use in Any 3D Cinema / 3D Laptop - works with the RealD digital 3D for watching 3D Movies - Piranha 3DD; JCVD: Bloodsport; Titanic; Ghosts of the Abyss; Katy Perry; Part of Me; Bait; Life of Pi; The Avengers 3D; Go for It!  3D Glasses
B00EDBQTT8,http://ecx.images-amazon.com/images/I/31fPNufAyEL._SX300_.jpg,"From JK ELECTRONICSBrand:JK(TM)Model:Linear PolarizationNote: This Clip On Linear Polarized 3D Glasses Works with IMAX OnlyUPDATE:The polarization of this one is 45/135, please check the theaters 
you enter in using the same glasses.We also have another IMAX clip-on glasses whose polarization is 0/90. Enter into 
our storefront and find the one suit for you.Benefits of Linear PolarizationThe process of linear polarization allows for lower light-loss than the process of circular polarization. Simply put, all things being equal with bulb
    brightness, screen, and throw distance, IMAX 3D is brighter than circular-polarization 3D systems. The brightness of image for a 3D film is a common
    complaint and almost all 3D systems suffer from significant light loss compared to 2D projection. This is an important factor for IMAX using Linear
    Polarized 3D Glasses, as they aim for premium audiovisual presentation.Benefits of Circular PolarizationIf you tilt your head at all, linear-polarization cross-talk will drastically increase. You'll start to see combined images in each eye, ruining the 3D
    effect and potentially giving you a headache. The same problem occurs with circular-polarization, but at a much lesser degree. Supporters of
    linear-polarization believe that most people will immediately get that something is wrong when they tilt their head, and will adjust back to an optimal
    viewing position. However, this makes a big assumption about how viewers will react to a suboptimal image and also places restrictions on the viewer that
    might lead to physical discomfort while watching a long film. The MasterImage, Disney Digital and RealD Movies Using Circular Polarized 3D Glasses","[['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', '3D Glasses']]",JK Passive Linear Polarized Clip On 3D Glasses &quot;45/135&quot; For IMAX Only,12.0,,"{'also_bought': ['B00CZB4ATO', 'B00JTABQNM', 'B00FERPM0W', 'B00C1W504G', 'B007BPE4O0', 'B0058GN1AM', 'B0045ASBLG'], 'bought_together': ['B00CZB4ATO', 'B00C1W504G'], 'buy_after_viewing': ['B00CZB4ATO', 'B00FERPM0W', 'B00C1W504G', 'B00JTABQNM']}",,3D Glasses,"JK Passive Linear Polarized Clip On 3D Glasses &quot;45/135&quot; For IMAX Only From JK ELECTRONICSBrand:JK(TM)Model:Linear PolarizationNote: This Clip On Linear Polarized 3D Glasses Works with IMAX OnlyUPDATE:The polarization of this one is 45/135, please check the theaters 
you enter in using the same glasses.We also have another IMAX clip-on glasses whose polarization is 0/90. Enter into 
our storefront and find the one suit for you.Benefits of Linear PolarizationThe process of linear polarization allows for lower light-loss than the process of circular polarization. Simply put, all things being equal with bulb
    brightness, screen, and throw distance, IMAX 3D is brighter than circular-polarization 3D systems. The brightness of image for a 3D film is a common
    complaint and almost all 3D systems suffer from significant light loss compared to 2D projection. This is an important factor for IMAX using Linear
    Polarized 3D Glasses, as they aim for premium audiovisual presentation.Benefits of Circular PolarizationIf you tilt your head at all, linear-polarization cross-talk will drastically increase. You'll start to see combined images in each eye, ruining the 3D
    effect and potentially giving you a headache. The same problem occurs with circular-polarization, but at a much lesser degree. Supporters of
    linear-polarization believe that most people will immediately get that something is wrong when they tilt their head, and will adjust back to an optimal
    viewing position. However, this makes a big assumption about how viewers will react to a suboptimal image and also places restrictions on the viewer that
    might lead to physical discomfort while watching a long film. The MasterImage, Disney Digital and RealD Movies Using Circular Polarized 3D Glasses 3D Glasses"
B0090SA7VK,http://ecx.images-amazon.com/images/I/51SiN4WSgZL._SX300_.jpg,"This 3D Glasses kit is only for use with Passive 3D Applications such as LG, Panasonic, Vizio, JVC, Phillips and Toshiba Passive 3D Ready Televisions. A Passive 3D viewing device (such as a 3D Ready television) and a 3D Blu-ray Player is required.These 3D Glasses will not work with Active Shutter Glasses Applications (including 3D Ready televisions that use active 3D Shutter glasses).These 3D Glasses will also work with most 3D theater applications or thrill rides such as Real-D or Disney Digital 3D.","[['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', '3D Glasses']]","Family Adult and Kids Genuine Sealed RealD Circular Polarized 3D Glasses for RealD Theaters and Passive 3D TV's from Vizio, Toshiba, LG, Philips and JVC - (10 Pairs)",24.95,,"{'also_bought': ['B00AJ4QQ6E', 'B008XBCJ34', 'B004U5T2OG', 'B00BLPVHOG', 'B00447G2O8', 'B005EWTKN2', 'B00ACB89JQ', 'B007D42KFO', 'B000Q7ZO8U', 'B00BF9MZ9O', 'B00B4804KS', 'B00A7MFRHC', 'B007BPE4O0', 'B006RW789G', 'B000NQRE1E', 'B0062KMDZ2', 'B006U1YUZE', 'B003Z2LAAO', 'B00AHWB528', 'B00867GJYK', 'B0043VUHXC', 'B004634VFM', 'B007RCNQXW', 'B0045ZAQS2', 'B00447G2PM', 'B00DK7B8JC', 'B004R6JG7G', 'B008X6N1OA', 'B008DL4HXE', 'B0019EHU8G', 'B004T1YAEI', 'B0092PXSEE', 'B00540XS32', 'B00428CCO8', 'B004A8ZWUQ', 'B0096YOQE2', 'B004AKCMD4', 'B00ASQFW40', 'B00BB9OOLK', 'B00CJ74S0K', 'B00CI3BP0G', 'B0091JK1B4', 'B0052WNHQU', 'B00DAXIACO', 'B00CHVJ4SO', 'B004TRJRA4', 'B004YOEFG8', 'B0097F1LW0', 'B005LAIII0', 'B004HO6I4W', 'B0085Z3B2Q', 'B00947N6UG', 'B00A822VDY', 'B00CTSDDVO', 'B00AWKC0JM', 'B008QZ5PY2', 'B00C7JFIRC', 'B001GCUNW6', 'B005LAIHZY', 'B005LAII80', 'B004UA8D1O', 'B00A7OIXW6', 'B00I0VTPWA', 'B00AWKBZKC', 'B009UWYFFK', 'B004TTVJ1C', 'B004WDRT1Y', 'B004NS3NJK', 'B00E8S2JZ4', 'B008JFUQ3O', 'B00AWHDF5S', 'B00CWM5MDY', 'B00H83EV5W', 'B00AEFY9MG', 'B00E9ZATTY', 'B000AGTPUK', 'B005LAIHQS', 'B001RQ6J2O', 'B003Y5YMQ6', 'B009EP2KG4', 'B005LAIHZE', 'B008JFUNWS', 'B0073U2F2Q', 'B0052TDXJ4', 'B0083SBJXS', 'B00E00P5JC', 'B005LAIHY0', 'B00BUKZ4HI', 'B004G6009U'], 'buy_after_viewing': ['B00ASQFW40', 'B00AJ4QQ6E', 'B00GTWCBI2', 'B00BLPVHOG']}",,3D Glasses,"Family Adult and Kids Genuine Sealed RealD Circular Polarized 3D Glasses for RealD Theaters and Passive 3D TV's from Vizio, Toshiba, LG, Philips and JVC - (10 Pairs) This 3D Glasses kit is only for use with Passive 3D Applications such as LG, Panasonic, Vizio, JVC, Phillips and Toshiba Passive 3D Ready Televisions. A Passive 3D viewing device (such as a 3D Ready television) and a 3D Blu-ray Player is required.These 3D Glasses will not work with Active Shutter Glasses Applications (including 3D Ready televisions that use active 3D Shutter glasses).These 3D Glasses will also work with most 3D theater applications or thrill rides such as Real-D or Disney Digital 3D. 3D Glasses"
B00BM878EU,http://ecx.images-amazon.com/images/I/31YwBroQM4L._SX300_.jpg,AVIATOR GAMING GLASSES,"[['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', '3D Glasses']]",VC EYEWEAR GE500S GAMERS EDGE SILVER BULLET,33.97,,"{'also_viewed': ['B009OZYIA0', 'B00BM82S04', 'B0065E4ECK', 'B00CAUTK0E', 'B003MQXY7K', 'B00BQ7KBV4', 'B004FN1AES', 'B00BQMN4DQ', 'B004X0ASUA', 'B00BU5DPAQ', 'B00G04DGYW', 'B00BQ79T1M', 'B00BQ7GWQM', 'B00G0578C2', 'B004FN1ADO', 'B00BQ7GWS0', 'B00F58B0K6', 'B007ZW4WU0', 'B007I8S9ZK', 'B00HDIEJTK', 'B008H086I8', 'B00BQN1BW6', 'B001DUQU0A', 'B00GB92TC6', 'B005UNC0VO', 'B00G04OLPK', 'B00JRJT8XU', 'B00DFKY6CA', 'B00BQ7KBU0', 'B00BQN530C', 'B00K52LARK', 'B001DUQU1E', 'B0065E4DTE', 'B007ZW4W28', 'B00HGAWJI8', 'B007ZW4X1I', 'B00BM89HXK', 'B00KSPF97G', 'B003MQXY0C', 'B00E3DYLIC', 'B00BBDL414', 'B007ZW4WPK', 'B008H086VU', 'B0043M5T5M', 'B00G04OLUU', 'B007ZW4WI2', 'B003MQZZ1I', 'B003B94GU2', 'B003MQU6V2', 'B00ESJITXE', 'B007ZW4VP6', 'B008OFP1OI', 'B004FN1ADY', 'B004BUMICS', 'B00JFOC64A', 'B00EO2H90O'], 'buy_after_viewing': ['B009OZYIA0', 'B00BM82S04', 'B0065E4ECK', 'B00BQN530C']}",VC Eyewear,3D Glasses,VC EYEWEAR GE500S GAMERS EDGE SILVER BULLET AVIATOR GAMING GLASSES 3D Glasses
B004FWH3QI,http://ecx.images-amazon.com/images/I/41W89Qx-iXL._SX300_.jpg,Samsung SSG-2200KR Rechargeable Child 3D Glasses,"[['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', '3D Glasses']]",Samsung SSG-2200KR Rechargeable Child 3D Glasses,98.88,,"{'also_viewed': ['B0039T7LD8', 'B00CJLDR2G', 'B00AAJU0JC', 'B009H6RAXI', 'B00AAJR6DU', 'B009IJK2JS', 'B00INO6JX2'], 'buy_after_viewing': ['B0039T7LD8', 'B00CJLDR2G', 'B00AAJU0JC', 'B002E0DSBW']}",,3D Glasses,Samsung SSG-2200KR Rechargeable Child 3D Glasses Samsung SSG-2200KR Rechargeable Child 3D Glasses 3D Glasses
B003LJUXMM,http://ecx.images-amazon.com/images/I/41SUzjPIS0L._SX300_.jpg,"Material: resin plastic 
Color: red blue with black frame

The Final Destination 3-D (Blu-Ray and DVD)
Friday the 13th Part 3 (Blu-Ray and DVD)
Jonas Brothers 3D Concert (Blu-Ray)
Sea Monsters 3-D (Blu-Ray and DVD)
Fly Me To The Moon 3-D

Hannah Montana & Miley Cyrus: Best of Both Worlds Concert 3D

Night of the Living Dead 3-D (2006)
The Adventures of Sharkboy and Lavagirl in 3-D (2005)
Polar Express 3-D (2004)
Spy Kids 3-D (2003)
Shrek 3-D (2003)
Santa Vs. the Snowman 3D (2002)","[['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', '3D Glasses']]",Red-blue / Cyan Anaglyph Fashion style 3D Glasses 3D movie game,2.84,,"{'also_bought': ['B002VU0S7M', 'B003MEC7K2', 'B004U7MQVK', 'B004HN2U7W', 'B001CCWJBS', 'B0058GN1AM', 'B002TXYEV2', 'B003LWYGPE', 'B005FLSZRO', 'B003ZHV70M', 'B005SN3INA'], 'bought_together': ['B002VU0S7M'], 'buy_after_viewing': ['B003LWYGPE', 'B003Y5YMQ6', 'B002VU0S7M', 'B001CCWJBS']}",3D Glasses,3D Glasses,"Red-blue / Cyan Anaglyph Fashion style 3D Glasses 3D movie game Material: resin plastic 
Color: red blue with black frame

The Final Destination 3-D (Blu-Ray and DVD)
Friday the 13th Part 3 (Blu-Ray and DVD)
Jonas Brothers 3D Concert (Blu-Ray)
Sea Monsters 3-D (Blu-Ray and DVD)
Fly Me To The Moon 3-D

Hannah Montana & Miley Cyrus: Best of Both Worlds Concert 3D

Night of the Living Dead 3-D (2006)
The Adventures of Sharkboy and Lavagirl in 3-D (2005)
Polar Express 3-D (2004)
Spy Kids 3-D (2003)
Shrek 3-D (2003)
Santa Vs. the Snowman 3D (2002) 3D Glasses"
B00FNJGJN0,http://ecx.images-amazon.com/images/I/31z0R-p2YgL._SX300_.jpg,Start copying here,"[['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', '3D Glasses']]",Sony HMZ-T3W  Head Mounted 3D Viewer,998.0,,"{'also_bought': ['B008I64GNK', 'B00IKML00E', 'B008I645QI', 'B00HVYBWQO', 'B005LDY0KC', 'B00KAED850', 'B009WHV3BM', 'B00J8JLOA4', 'B00IAS60VM', '3283005737', 'B003VAM392', 'B00BGAA3S2', 'B00I3J4NG2', 'B00F5LLZR6', 'B00EWEHI5K', 'B00HD4R5YU', 'B00JBJ3HQ0', 'B00FB2XNCE', 'B00BGA9WK2', 'B00I4N7KBW', 'B00FW78710', 'B00EI4FMHA', 'B00H83EV5W', 'B00IZ9T9QE', 'B00BGA9X9W', 'B00CCJL3BC', 'B00GPFM106', 'B004P15HD0', 'B005SCYZGA', 'B00FRDUZUK', 'B00ENRTB10', 'B00EVIBN26', 'B008I645AY', 'B00F27JGVA', 'B0044M2OU4', 'B00E3667XQ', 'B007MYZE26', 'B0076NA716', 'B00GIZ3APS', 'B00F144HYA', 'B00F93S5DM', 'B008XBCJ34', 'B00CMS5OIG', 'B00BGAA0SU', 'B005LA53D8', 'B002NTMHU2', 'B00E1XI94Q', 'B000EBBJ6Y', 'B00B4804KS', 'B00IIJ6W4S', 'B00DOPGO2G', 'B00DYAQHTQ', 'B00ESM3Q7K', 'B00CMQTVUA', 'B00BGA9YZK', 'B006JKARP8', 'B005LAIII0', 'B00979QONC', 'B0055BJBCM', 'B00D429Y12', 'B009NOG9TA', 'B00BGAA29M', 'B0042A8CW2', 'B00ENFVJJO', 'B00AECG0XA', 'B009QZH6JS', 'B003OBUJIK', 'B00BGA9Y3W'], 'bought_together': ['B008I64GNK'], 'buy_after_viewing': ['B00562O8U0', 'B00HVYBWQO', 'B009WHV3BM', 'B00BI83EVU']}",Sony,3D Glasses,Sony HMZ-T3W  Head Mounted 3D Viewer Start copying here 3D Glasses
